subjectIx,blockIx,trialIx,trial,trial_alt,r,t_d,t_d_alt,RT_trial,RT_diff_trial
3,5,520,IG,IG,RB,0.366,intermediate,0.4904462288977811,0
3,5,521,NS,NS,RB,NaN,NA,0.5575354299289756,0.015563546359771863
3,5,522,NS,NS,RB,NaN,NA,0.6791420235276746,0.015567934686259832
3,5,523,NS,NS,RB,NaN,NA,0.5735493277388741,0
3,5,524,NS,NS,RB,NaN,NA,0.5168900688040594,0.015592070449201856
3,5,525,NS,NS,RB,NaN,NA,0.6775335210113553,0
3,5,526,NS,NS,RB,NaN,NA,0.5418634554662276,0.015550747091765516
3,5,527,IG,IG,RB,0.166,short,0.7180600317733479,0
3,5,528,SB,SSS,NR,0.066,short,NaN,NaN
3,5,529,IG,IG,RB,0.466,long,0.5792673100950196,0.04677730842377059
3,5,530,SB,SSS,NR,0.266,short,NaN,NaN
3,5,531,NS,NS,RB,NaN,NA,0.5418294459741446,0.046857760986313224
3,5,532,SL,SAS,RB,0.366,intermediate,0.5542984946041543,0.01554855293215951
3,5,533,NS,NS,RB,NaN,NA,0.6047089671810681,0.031132943819102366
3,5,534,NS,NS,RB,NaN,NA,0.6026446278119693,0
3,5,535,NS,NS,RB,NaN,NA,0.6384858744495432,0.01562534854747355
3,5,536,NS,NS,RB,NaN,NA,0.5261786817318352,0.015610355119861197
3,5,537,SR,SAS,RB,0.466,long,0.6868649200696382,0
3,5,538,NS,NS,RB,NaN,NA,0.5735229978163261,0
3,5,539,NS,NS,RB,NaN,NA,0.5869874639320187,0.03124265185033437
3,5,540,IG,IG,RB,0.066,short,0.8412191767929471,0.015594264608807862
3,5,541,SR,SAS,RL,0.266,short,0.8147490069532068,NaN
3,5,542,NS,NS,RB,NaN,NA,0.6087546335111256,0
3,5,543,NS,NS,RB,NaN,NA,0.5890283989283489,0
3,5,544,NS,NS,RB,NaN,NA,0.5558025916470797,0
3,5,545,SB,SSS,RB,0.366,intermediate,0.5370864022916066,0
